,Date Created,Content,User
0,2020-10-30 23:32:00+00:00,"More than 9 million cases of COVID-19 have been now confirmed in the United States — and more than 228,000 Americans have lost their lives.

It is as severe an indictment of a president’s record as one can possibly imagine, and it is utterly disqualifying.",JoeBiden
1,2020-10-30 22:30:00+00:00,Jill and I are praying for all those impacted by Hurricane Zeta. The entire nation stands with you as you rebuild and recover.,JoeBiden
2,2020-10-30 22:10:00+00:00,Alfonso came here with a dream. And now he’s been robbed of his future. Enough is enough. https://t.co/wrASsVVNHX,JoeBiden
3,2020-10-30 21:02:55+00:00,We are in a battle for the soul of the nation –– your voice and vote can make all the difference. Tune in as I speak live from Minnesota. https://t.co/9F5riiRKo9,JoeBiden
4,2020-10-30 20:45:00+00:00,"Jill and I send our prayers to the people of Greece and Turkey following today’s earthquake. We’re grateful for the brave rescuers saving others, and for the governments of Greece and Turkey putting aside their differences to support each other.",JoeBiden
5,2020-10-30 20:15:00+00:00,"Let me be clear: Hardworking Americans should not be paying more in federal income taxes than Amazon or Netflix.

It’s time for big corporations to finally pay their fair share.",JoeBiden
6,2020-10-30 19:10:00+00:00,"I'm not going to shut down the country.

I'm not going to shut down the economy.

I'm going to shut down the virus.",JoeBiden
7,2020-10-30 18:44:00+00:00,"You have the power to silence him.

Vote: https://t.co/eoxT07uII9 https://t.co/zIJUQEWlyx",JoeBiden
8,2020-10-30 17:51:40+00:00,"There’s no challenge we can’t overcome when we stand united. With just four days to go, tune in as we get out the vote in Iowa. https://t.co/0O9S2J9Tw6",JoeBiden
9,2020-10-30 17:30:00+00:00,Donald Trump is wholly unfit to serve as commander in chief. But don’t just take my word for it... https://t.co/TnxcPvwSul,JoeBiden
10,2020-10-30 16:35:00+00:00,"After campaigning in 2016 to lift up the ‘forgotten man,’ President Trump has completely lost sight of working people. 

I promise you this: I never will. https://t.co/mbcxYtv80U",JoeBiden
